name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,time_signature,release_year,decade,mood_Calm,mood_Energetic,mood_Happy,mood_Sad,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,energy_danceability,valence_danceability,acoustic_instrumental,speechiness_energy,tempo_category
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,1982-10-27,1.4660179446104842,2.5757529436753246,2.3007442050313136,-0.7620030870175758,0.6813951242548718,-0.8522549141501649,-0.5813632582805447,1.1207460839022692,0.44619305119132735,0.550357424468978,-0.021123305403669523,0.25951051390665175,-2.53842399544997,-2.210646865624766,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1.5677158834659881,2.578550057849684,0.6494208755083246,0.37501086563063046,
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,2007-04-16,1.031317768796928,1.7226723281910383,-0.7526677430109763,-1.0497500692428048,0.9940368738363332,-0.3744602523538228,-0.09764194699536655,-0.699816275052708,0.865853132824894,-0.11479897869374543,0.03868837196013675,0.25951051390665175,-0.4150227896180072,-0.5676308853229348,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,-0.7481794903000795,0.5267291362662704,0.39308967583710364,-0.11411441790033454,slow
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,2006-11-06,1.3423185487585174,-0.03487575823031716,-0.9730170588490799,1.1286968131244903,-1.1300879542024183,-0.8520664777860992,-0.5172895474698442,-0.8981346148081523,-0.5084934371992095,-0.5284053239331117,0.5882167910653621,0.25951051390665175,-0.4999588378512857,-0.5676308853229348,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,1.0995948574388106,0.8739003013511796,-0.9617247180473796,0.5971444915132363,slow
99 Luftballons,99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,1984-08-21,,0.22746513943350466,-0.2175336902612965,-0.8789535963047137,-0.21361851180186028,-0.8522412141195562,-0.37928463187756634,0.9700241456881319,-0.17780343672933654,0.165776085913076,2.554266684642856,0.25951051390665175,-2.3685518989834127,-2.210646865624766,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.04646922318038498,-0.21101293205410082,0.7490804800694795,-0.035412840765088625,slow
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,2004-01-01,1.3423185487585174,0.837398141840424,-0.5134313429581785,-1.0916329703812613,1.3005483930338442,-0.8522549141501649,-0.21029902094824715,0.4068000607826702,1.0621500739465972,1.2590513376568975,1.7524379682974633,0.25951051390665175,-0.6698309343178427,-0.5676308853229348,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.6677423080174676,-0.20886390152311501,0.9303495634557712,1.63745719393679,slow
A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,67DOFCrkcQaLp5yhzF8Y8N,2020-07-31,0.6073197552185519,-1.5777622811188603,-0.6708237114139664,1.3284872664900178,-1.4105459942681409,1.4757751981738485,-0.4356131688540063,-0.6760180742820548,-1.9965984393136376,0.4366761482920759,-1.6539268441539519,2.259782564917474,0.6891458374146133,1.0753850949788963,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9462276989950575,0.45348895357281044,1.9605485589757403,-0.6159517917658284,
A La Plage,A La Plage,Ron Adelaar,79NmiFAgcXUIVDGfCWDdWF,2020-08-07,0.6750441963111865,-1.360312452432188,0.021702709791501355,1.3260507975465359,-1.377136238675612,1.4782129260401562,-0.3652024976334563,0.8351676746544293,-1.1965376642708452,-0.05674896532681688,0.520566054370387,0.25951051390665175,0.6891458374146133,1.0753850949788963,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.029887588131336552,0.0181254016702681,1.9601854295191476,0.07815105665890532,slow
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,2009-12-28,,-0.15290650752466187,0.5379496783264862,-1.0954216795883758,1.3097437386097694,-0.17700429518288552,-0.055395544263036535,0.9422595781223692,0.2874136141747961,-0.13898648426329904,-0.14288772479442055,0.25951051390665175,-0.24515069315145022,-0.5676308853229348,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7045762228752549,0.5068882369509791,0.1938943423235931,-0.18203667751524116,
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,2000-10-24,1.4660179446104842,-0.6152880033207416,0.6449764888764222,-1.060714179488474,1.2269856284264415,-0.8522549141501649,3.549630822229121,0.45439646232397685,0.8410647818982625,3.1456767720820764,0.4809908914033415,0.25951051390665175,-1.0095751272509568,-0.5676308853229348,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7913768825243167,0.29307503482758607,0.9039988719778119,3.8597001910195865,slow
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,2007-05-15,,-0.5358224464357259,-1.0674524799225524,-1.0874178791090374,1.1289019422832376,-0.850219411381798,3.9791359166744757,-0.1722894913032267,1.2912748311603262,0.1536823331282992,1.9295247359196341,0.25951051390665175,-0.4150227896180072,-0.5676308853229348,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-1.2050491778796282,0.18391084475622438,0.924543789102129,0.17349228436315653,slow
